


访问平均时间 访问uri				访问数量
19276.1 http://api.appems.com/api/cop/idfaquery 6405 
16999.7 http://api.wall.adjuz.com/ashx/click.ashx 1156 
12869.6 http://expandxy.51kahui.com/api/xyzs/index  430 
12806.1 http://dedup.x.foozo.cn/distinct/multiple 1048 
11656.1 http://gateway.8win.com/event/thirdparty/idfa/distinct 1259 
11644.2 http://qc.cattry.com/Home/Union/qc.html 19464 
11297.2 http://api.repeat.adjuz.com/PcHandler.ashx  283 
9191.68 http://shike.ddashi.com/shike/repeatnew.php  269 
9179.5 http://expandxy.51kahui.com/api/pay/addpay    2 
9079.18 http://api.vlink.cn/interface/open/v1/webcall  488 
9074.11 http://expandxy.51kahui.com/api/xyrun/isexistidfa 1932 
8580.92 http://api.refanqie.com/1/hlw-coreapi/channel/checkIdfa.json  154 
8258.86 http://api.appems.com/api/cop/idfaclick 1103 
7814.27 http://gateway.8win.com/event/thirdparty/idfa/click  171 
7494.23 http://api.refanqie.com/1/hlw-coreapi/channel/reportClick.json  105 
6841.35 http://x.foozo.cn/track/click  213 
5986.95 http://qc.cattry.com/Home/Union/click.html 2150 
5565.57 http://api.23dx.cn/ios/echo 3713 
5004 http://duobao.lieqicun.cn/visitor/api/common/mz/random    5 
5002.3 http://d.miaozhuandaqian.com/visitor/api/common/mz/updateCoin 26327 
4973.95 http://d.miaozhuandaqian.com/visitor/api/common/mz/random 7161 
4457.02 http://shokey.shiwan123.com/experienceReward/api/alliance/filter 10648 
4038.52 http://api.23dx.cn/ios/click 1139 
3816.12 http://x.foozo.cn/notify/universalcrypt   25 
3605.23 http://es2.laizhuan.com/module/offer/data.php  359 
3500.47 http://a.apix.cn/apixlife/phone/phone 1475 
3450.03 http://www.apptyk.com/data/pt-click 35684 
3136.11 http://www.doumi.com/api/idfa  210 
3086 http://www.xiaoyuzhuanqian.com/index/index/activecallback/    4 
3050 http://jz.9188.com/aso/distinct.go    3 
2859.35 http://api.open.liequ.cn/Verification/b2b/queryIdfaIsActivate   34 
2783.03 http://www.huishuaka.com/credit/checkIdfa.go 1013 
2385.5 http://jz.9188.com/aso/downloadApp.go    6 
2362.18 http://shokey.shiwan123.com/experienceReward/api/alliance/take 2015 
2256.67 http://asoapi.aiyingli.com/api/aso_source/cpid/517/  110 
2253.86 http://asoapi.aiyingli.com/api/aso_IdfaRepeat/cpid/517/ 1610 
2080.75 https://api.weixin.qq.com/cgi-bin/ticket/getticket    4 
2072.95 http://api.highpin.cn/kingapi/ASO/IDFADistinct   19 
2060 http://cloud.baiwutong.com:8080/post_sms.do    2 
1297.21 https://api.weixin.qq.com/cgi-bin/token   14 
242.426 https://proxy.xiu8.com/proxy/user/system/ios/click  495
